Platillo,Filtro,Ecualizacion,Comparacion,Version,Nota_Lineal,Nota_Exponencial
Parmentier,Filter_Median,Normal,bueno,1,8.31538723592881,8.765197866009444
Parmentier,Filter_Median,Normal,malo,1,8.470462221713753,8.791388930936884
Parmentier,Filter_Median,Normal,feo,1,8.212419235542807,8.719700725204008
Parmentier,Filter_Median,CLAHE,bueno,1,7.814108507692032,8.381599956162283
Parmentier,Filter_Median,CLAHE,malo,1,8.315093556009543,8.710140551981596
Parmentier,Filter_Median,CLAHE,feo,1,8.059487472726765,8.475340630427667
Parmentier,Filter_Median,Normal,bueno,3,8.289244381462062,8.765468515776666
Parmentier,Filter_Median,Normal,malo,3,8.5056992021266,8.803818467409918
Parmentier,Filter_Median,Normal,feo,3,8.183420333081685,8.749213188559313
Parmentier,Filter_Median,CLAHE,bueno,3,7.634142711256789,8.311623597225115
Parmentier,Filter_Median,CLAHE,malo,3,8.161246338736323,8.630813989670923
Parmentier,Filter_Median,CLAHE,feo,3,8.101507098590723,8.544231713327191
Parmentier,Filter_Median,Normal,bueno,4,8.239973033456186,8.727914715974386
Parmentier,Filter_Median,Normal,malo,4,8.5770739470817,8.837723320412152
Parmentier,Filter_Median,Normal,feo,4,8.329900036968834,8.774666513803748
Parmentier,Filter_Median,CLAHE,bueno,4,7.550853407527974,8.255916350581195
Parmentier,Filter_Median,CLAHE,malo,4,8.279496448388894,8.695528806839247
Parmentier,Filter_Median,CLAHE,feo,4,8.03963027390966,8.491235134319911
Omelette,Filter_Median,Normal,bueno,1,8.51734219181735,9.125742203933276
Omelette,Filter_Median,Normal,malo,1,7.952554195353042,8.73807006859894
Omelette,Filter_Median,Normal,feo,1,7.808463266878966,8.449634427785018
Omelette,Filter_Median,CLAHE,bueno,1,7.9612900658764065,8.643787995003336
Omelette,Filter_Median,CLAHE,malo,1,7.373206023664625,8.16077226830657
Omelette,Filter_Median,CLAHE,feo,1,7.228178859487269,7.976249075690125
Omelette,Filter_Median,Normal,bueno,3,8.242181095218411,8.99420235683617
Omelette,Filter_Median,Normal,malo,3,7.8421925892942,8.651082257206625
Omelette,Filter_Median,Normal,feo,3,7.677300881765889,8.342659305693918
Omelette,Filter_Median,CLAHE,bueno,3,7.799772867881566,8.55641523008043
Omelette,Filter_Median,CLAHE,malo,3,7.398678325516114,8.206978576501788
Omelette,Filter_Median,CLAHE,feo,3,7.309749026447033,8.029657184474848
Omelette,Filter_Median,Normal,bueno,4,8.343390727195027,9.063790964517958
Omelette,Filter_Median,Normal,malo,4,7.888885065297577,8.682753483468408
Omelette,Filter_Median,Normal,feo,4,7.685943952789361,8.397264952913666
Omelette,Filter_Median,CLAHE,bueno,4,7.762357142529982,8.488909320368332
Omelette,Filter_Median,CLAHE,malo,4,7.260922263061357,8.049254401142283
Omelette,Filter_Median,CLAHE,feo,4,7.181471417465159,7.937875149364823
Pollo_Relleno,Filter_Median,Normal,bueno,1,7.620476768301765,8.337762821863102
Pollo_Relleno,Filter_Median,Normal,malo,1,7.1858643101641935,7.964958929789045
Pollo_Relleno,Filter_Median,Normal,feo,1,7.204699631938126,7.726258774672663
Pollo_Relleno,Filter_Median,CLAHE,bueno,1,7.192497511176313,7.911694549044781
