Platillo,Filtro,Ecualizacion,Comparacion,Version,Nota_Lineal,Nota_Exponencial
Parmentier,Filter_Median,Normal,bueno,1,5.8331129166552556,6.780595236588977
Parmentier,Filter_Median,Normal,malo,1,6.147038332726564,6.839284471086774
Parmentier,Filter_Median,Normal,feo,1,5.631886085866862,6.679581989843256
Parmentier,Filter_Median,CLAHE,bueno,1,4.9060888347545495,5.9655401313161125
Parmentier,Filter_Median,CLAHE,malo,1,5.8325308567379475,6.658507116235557
Parmentier,Filter_Median,CLAHE,feo,1,5.343446703090472,6.15712837396434
Parmentier,Filter_Median,Normal,bueno,3,5.781481870185481,6.781199691741104
Parmentier,Filter_Median,Normal,malo,3,6.220215695856033,6.867275159451344
Parmentier,Filter_Median,Normal,feo,3,5.576240286012674,6.744970565512022
Parmentier,Filter_Median,CLAHE,bueno,3,4.604702353799174,5.825657097830777
Parmentier,Filter_Median,CLAHE,malo,3,5.533992744166378,6.48564353126909
Parmentier,Filter_Median,CLAHE,feo,3,5.421468727197178,6.301027261250507
Parmentier,Filter_Median,Normal,bueno,4,5.685175104336713,6.697731018851673
Parmentier,Filter_Median,Normal,malo,4,6.370559818139125,6.944081647754125
Parmentier,Filter_Median,Normal,feo,4,5.8619348704768,6.801767081753459
Parmentier,Filter_Median,CLAHE,bueno,4,4.4706324600149365,5.716195321716725
Parmentier,Filter_Median,CLAHE,malo,4,5.762324632698728,6.626397167757259
Parmentier,Filter_Median,CLAHE,feo,4,5.306897459718533,6.190094527873168
Omelette,Filter_Median,Normal,bueno,1,6.244546506126584,7.623752564473854
Omelette,Filter_Median,Normal,malo,1,5.14904485312826,6.720222935847347
Omelette,Filter_Median,Normal,feo,1,4.896388718223795,6.104108116929469
Omelette,Filter_Median,CLAHE,bueno,1,5.16470431256271,6.513671409762008
Omelette,Filter_Median,CLAHE,malo,1,4.195868160020696,5.533092360560354
Omelette,Filter_Median,CLAHE,feo,1,3.9826219474877966,5.191610456332309
Omelette,Filter_Median,Normal,bueno,3,5.689463094647012,7.307255049650131
Omelette,Filter_Median,Normal,malo,3,4.954584536745901,6.529471124373862
Omelette,Filter_Median,Normal,feo,3,4.675511784889647,5.887368824836088
Omelette,Filter_Median,CLAHE,bueno,3,4.881487571418946,6.326751356626642
Omelette,Filter_Median,CLAHE,malo,3,4.2343410639027335,5.621411857887237
Omelette,Filter_Median,CLAHE,feo,3,4.101353257136974,5.28861855213763
Omelette,Filter_Median,Normal,bueno,4,5.888829501108754,7.473404785961724
Omelette,Filter_Median,Normal,malo,4,5.036098886642029,6.598422566574837
Omelette,Filter_Median,Normal,feo,4,4.689802969772412,5.997220401369265
Omelette,Filter_Median,CLAHE,bueno,4,4.8177658760575675,6.185261901474048
Omelette,Filter_Median,CLAHE,malo,4,4.029911306201269,5.324585955253913
Omelette,Filter_Median,CLAHE,feo,4,3.916020531318032,5.122820452152412
Pollo_Relleno,Filter_Median,Normal,bueno,1,4.582471787268361,5.877597854998245
Pollo_Relleno,Filter_Median,Normal,malo,1,3.9222418028802237,5.17129265508039
Pollo_Relleno,Filter_Median,Normal,feo,1,3.9490169440562206,4.75695242849968
Pollo_Relleno,Filter_Median,CLAHE,bueno,1,3.931652586556227,5.076323024971888
Pollo_Relleno,Filter_Median,CLAHE,malo,1,2.9883277026519046,3.9780595761888247
Pollo_Relleno,Filter_Median,CLAHE,feo,1,3.2936769588686827,4.00956720348703
Pollo_Relleno,Filter_Median,Normal,bueno,3,4.470740333386766,5.773193013799567
Pollo_Relleno,Filter_Median,Normal,malo,3,3.8164940220843047,4.967824822979696
Pollo_Relleno,Filter_Median,Normal,feo,3,4.045023985587962,4.823907446076533
Pollo_Relleno,Filter_Median,CLAHE,bueno,3,3.9357526915714534,5.176934185923584
Pollo_Relleno,Filter_Median,CLAHE,malo,3,3.1558557415840145,4.155302418961147
Pollo_Relleno,Filter_Median,CLAHE,feo,3,3.3376313639219064,3.865581302381009
Pollo_Relleno,Filter_Median,Normal,bueno,4,4.616796970649944,5.94139157958905
Pollo_Relleno,Filter_Median,Normal,malo,4,3.995270684728945,5.20676961251213
Pollo_Relleno,Filter_Median,Normal,feo,4,4.239603472890227,5.340715591129501
Pollo_Relleno,Filter_Median,CLAHE,bueno,4,3.8458111244393614,4.987780385962841
Pollo_Relleno,Filter_Median,CLAHE,malo,4,3.2019454955193902,4.223350376487392
Pollo_Relleno,Filter_Median,CLAHE,feo,4,3.385513024332314,4.035609959615741
Parmentier,Original,Normal,bueno,1,5.080437870790058,5.8780921842647675
Parmentier,Original,Normal,malo,1,5.917754523273347,6.504712775064779
Parmentier,Original,Normal,feo,1,5.470453846283131,6.47582349250523
Parmentier,Original,CLAHE,bueno,1,4.916107678387974,5.832625871203363
Parmentier,Original,CLAHE,malo,1,5.419964570131132,6.1169050617994865
Parmentier,Original,CLAHE,feo,1,5.20873250230797,6.0003810768789645
Parmentier,Original,Normal,bueno,3,5.364769737722862,6.124502874605902
Parmentier,Original,Normal,malo,3,6.224667826690369,6.7163341079706385
Parmentier,Original,Normal,feo,3,5.406676536406048,6.427035952893431
Parmentier,Original,CLAHE,bueno,3,5.058286994412855,5.909695645461756
Parmentier,Original,CLAHE,malo,3,5.6510077577039874,6.225920059095793
Parmentier,Original,CLAHE,feo,3,5.073565768242846,5.878475110867573
Parmentier,Original,Normal,bueno,4,5.162138618696305,6.0041309402188165
Parmentier,Original,Normal,malo,4,5.9678568258219915,6.559779838038794
Parmentier,Original,Normal,feo,4,5.579468071499511,6.529501840960907
Parmentier,Original,CLAHE,bueno,4,4.965437362672951,5.896907605576926
Parmentier,Original,CLAHE,malo,4,5.258266466358355,6.072729481621285
Parmentier,Original,CLAHE,feo,4,5.117592505662454,5.973602912210672
Parmentier,Filter_Normalized,Normal,bueno,1,5.008280553167973,5.836111813646897
Parmentier,Filter_Normalized,Normal,malo,1,5.747026900886224,6.487752288954227
Parmentier,Filter_Normalized,Normal,feo,1,5.651272413885234,6.606024018638281
Parmentier,Filter_Normalized,CLAHE,bueno,1,4.44668216391503,5.366175723190623
Parmentier,Filter_Normalized,CLAHE,malo,1,5.231185855064146,6.1832705851223375
Parmentier,Filter_Normalized,CLAHE,feo,1,5.335975565176551,6.125220818845331
Parmentier,Filter_Normalized,Normal,bueno,3,4.89229081145034,5.767005406872587
Parmentier,Filter_Normalized,Normal,malo,3,5.856652224585087,6.476943491610463
Parmentier,Filter_Normalized,Normal,feo,3,5.476202295937755,6.476794286777441
Parmentier,Filter_Normalized,CLAHE,bueno,3,4.129771904669861,5.129634918480464
Parmentier,Filter_Normalized,CLAHE,malo,3,5.1575684295330815,6.167726298770668
Parmentier,Filter_Normalized,CLAHE,feo,3,5.3834151620628,6.120616865099043
Parmentier,Filter_Normalized,Normal,bueno,4,4.9488467608574656,5.909129336742609
Parmentier,Filter_Normalized,Normal,malo,4,6.124189567874463,6.650142411257366
Parmentier,Filter_Normalized,Normal,feo,4,5.698212854787862,6.593924399937146
Parmentier,Filter_Normalized,CLAHE,bueno,4,4.01259949087307,5.174987434255793
Parmentier,Filter_Normalized,CLAHE,malo,4,5.56032195743584,6.3311940505501365
Parmentier,Filter_Normalized,CLAHE,feo,4,5.35211822279243,6.1968799972124256
Omelette,Filter_Normalized,Normal,bueno,1,6.202376566658404,7.512147496977429
Omelette,Filter_Normalized,Normal,malo,1,5.2788756328970745,6.832839062201305
Omelette,Filter_Normalized,Normal,feo,1,4.443845307406982,5.839089651107596
Omelette,Filter_Normalized,CLAHE,bueno,1,5.429448248535814,6.802249700956826
Omelette,Filter_Normalized,CLAHE,malo,1,4.412594193615707,5.778738520590023
Omelette,Filter_Normalized,CLAHE,feo,1,3.8800580280666246,5.140178870860359
Omelette,Filter_Normalized,Normal,bueno,3,5.690188629755428,7.280304326456394
Omelette,Filter_Normalized,Normal,malo,3,4.956103133001525,6.513271680799075
Omelette,Filter_Normalized,Normal,feo,3,4.26777046500671,5.64163540266239
Omelette,Filter_Normalized,CLAHE,bueno,3,5.122144953047013,6.619041317786212
Omelette,Filter_Normalized,CLAHE,malo,3,4.331127067843059,5.742889877184873
Omelette,Filter_Normalized,CLAHE,feo,3,3.905443204993908,5.192662722094356
Omelette,Filter_Normalized,Normal,bueno,4,5.8166577531497206,7.372595476276913
Omelette,Filter_Normalized,Normal,malo,4,5.065610527628509,6.613149355386377
Omelette,Filter_Normalized,Normal,feo,4,4.354074807613403,5.758485029922259
Omelette,Filter_Normalized,CLAHE,bueno,4,5.0705976402555795,6.574931885261968
Omelette,Filter_Normalized,CLAHE,malo,4,4.2365925898269055,5.602979410227423
Omelette,Filter_Normalized,CLAHE,feo,4,3.8959766646662835,5.160290327429196
Pollo_Relleno,Filter_Normalized,Normal,bueno,1,4.321502006450993,5.534246061985669
Pollo_Relleno,Filter_Normalized,Normal,malo,1,3.720454057441482,4.895854560249577
Pollo_Relleno,Filter_Normalized,Normal,feo,1,3.4418887846122432,4.087743088136656
Pollo_Relleno,Filter_Normalized,CLAHE,bueno,1,3.5850232782988942,4.5712337303235895
Pollo_Relleno,Filter_Normalized,CLAHE,malo,1,3.179386903954123,4.191246699675331
Pollo_Relleno,Filter_Normalized,CLAHE,feo,1,2.860935050635927,3.371508344262494
Pollo_Relleno,Filter_Normalized,Normal,bueno,3,4.416615831805001,5.735048474029962
Pollo_Relleno,Filter_Normalized,Normal,malo,3,3.6392067220715707,4.736939522470967
Pollo_Relleno,Filter_Normalized,Normal,feo,3,3.3667497151197363,4.0819587126189285
Pollo_Relleno,Filter_Normalized,CLAHE,bueno,3,3.6505009579091663,4.757622014125031
Pollo_Relleno,Filter_Normalized,CLAHE,malo,3,3.223112681582741,4.209039050914333
Pollo_Relleno,Filter_Normalized,CLAHE,feo,3,2.760560720142018,3.2586482712148976
Pollo_Relleno,Filter_Normalized,Normal,bueno,4,4.3309778822824665,5.517550149607096
Pollo_Relleno,Filter_Normalized,Normal,malo,4,3.7577768084633796,4.905717804038382
Pollo_Relleno,Filter_Normalized,Normal,feo,4,3.6403685168474924,4.590022361976706
Pollo_Relleno,Filter_Normalized,CLAHE,bueno,4,3.7558812615275983,4.9475203820904365
Pollo_Relleno,Filter_Normalized,CLAHE,malo,4,3.3993861400242906,4.429891665281051
Pollo_Relleno,Filter_Normalized,CLAHE,feo,4,2.9004987471808317,3.5872447888104455
Omelette,Original,Normal,bueno,1,5.939675827513213,7.252183279018865
Omelette,Original,Normal,malo,1,4.672416530064692,6.196758755793366
Omelette,Original,Normal,feo,1,4.118977104105097,5.453141810047105
Omelette,Original,CLAHE,bueno,1,5.276836783032602,6.5287245539850565
Omelette,Original,CLAHE,malo,1,3.900164847551446,5.242659433966646
Omelette,Original,CLAHE,feo,1,3.338230392180516,4.516683427976396
Omelette,Original,Normal,bueno,3,5.339407919496698,6.897451358474598
Omelette,Original,Normal,malo,3,4.461074324536035,5.949673426524029
Omelette,Original,Normal,feo,3,4.179068318984,5.400142904329679
Omelette,Original,CLAHE,bueno,3,4.792352724212821,6.253552825954119
Omelette,Original,CLAHE,malo,3,3.989833743141749,5.359666039020186
Omelette,Original,CLAHE,feo,3,3.738354819925023,4.9129960208684
Omelette,Original,Normal,bueno,4,5.546533597349182,7.074149951504257
Omelette,Original,Normal,malo,4,4.504131699279791,5.9718220440542185
Omelette,Original,Normal,feo,4,4.149522183419334,5.454117541759228
Omelette,Original,CLAHE,bueno,4,5.101035591455118,6.543986930147009
Omelette,Original,CLAHE,malo,4,3.968733075930948,5.3037435709081135
Omelette,Original,CLAHE,feo,4,3.501252334496576,4.7193842303372335
Parmentier,Filter_Gaussian,Normal,bueno,1,4.972607951384401,5.791796933129729
Parmentier,Filter_Gaussian,Normal,malo,1,5.749964802667579,6.510861930212149
Parmentier,Filter_Gaussian,Normal,feo,1,5.74132005743113,6.736041809033894
Parmentier,Filter_Gaussian,CLAHE,bueno,1,4.943998243934055,5.872948700275026
Parmentier,Filter_Gaussian,CLAHE,malo,1,5.412684894061439,6.416700588298232
Parmentier,Filter_Gaussian,CLAHE,feo,1,5.310219651379552,6.109708279676177
Parmentier,Filter_Gaussian,Normal,bueno,3,5.016921780067413,5.84033107902431
Parmentier,Filter_Gaussian,Normal,malo,3,5.876186628856212,6.537742426826597
Parmentier,Filter_Gaussian,Normal,feo,3,5.5672112228488375,6.5837266407721255
Parmentier,Filter_Gaussian,CLAHE,bueno,3,4.674675718287151,5.7680507219573265
Parmentier,Filter_Gaussian,CLAHE,malo,3,5.426522337121986,6.448026607934873
Parmentier,Filter_Gaussian,CLAHE,feo,3,5.323264897302492,6.1305090430226805
Parmentier,Filter_Gaussian,Normal,bueno,4,5.037629199156504,5.842564381506909
Parmentier,Filter_Gaussian,Normal,malo,4,6.019119127587109,6.611171316912542
Parmentier,Filter_Gaussian,Normal,feo,4,5.86796762848581,6.767131007583603
Parmentier,Filter_Gaussian,CLAHE,bueno,4,4.531054845085849,5.722888671879741
Parmentier,Filter_Gaussian,CLAHE,malo,4,5.675820190891266,6.450464181310095
Parmentier,Filter_Gaussian,CLAHE,feo,4,5.389900506332081,6.23174840393226
Omelette,Filter_Gaussian,Normal,bueno,1,6.213344736019956,7.4894483024716445
Omelette,Filter_Gaussian,Normal,malo,1,4.9770625242761195,6.5054738251077815
Omelette,Filter_Gaussian,Normal,feo,1,4.31769427274428,5.712450168223806
Omelette,Filter_Gaussian,CLAHE,bueno,1,5.430622419659037,6.725632820431573
Omelette,Filter_Gaussian,CLAHE,malo,1,4.225531558052236,5.572696484803306
Omelette,Filter_Gaussian,CLAHE,feo,1,3.8353519412537787,5.108342690512423
Omelette,Filter_Gaussian,Normal,bueno,3,5.608861669887791,7.17803360295589
Omelette,Filter_Gaussian,Normal,malo,3,4.751537649771349,6.278253187953207
Omelette,Filter_Gaussian,Normal,feo,3,4.18293658710788,5.544874469197175
Omelette,Filter_Gaussian,CLAHE,bueno,3,5.057153792694525,6.522650193947129
Omelette,Filter_Gaussian,CLAHE,malo,3,4.182036234679398,5.559741728323103
Omelette,Filter_Gaussian,CLAHE,feo,3,3.8236954451214022,5.1096497592545065
Omelette,Filter_Gaussian,Normal,bueno,4,5.8022039103978615,7.33010523220164
Omelette,Filter_Gaussian,Normal,malo,4,4.8272545400253515,6.337151656234502
Omelette,Filter_Gaussian,Normal,feo,4,4.266236263313447,5.664010357396774
Omelette,Filter_Gaussian,CLAHE,bueno,4,5.171278292493065,6.598429406129538
Omelette,Filter_Gaussian,CLAHE,malo,4,4.158199063339291,5.49158418217342
Omelette,Filter_Gaussian,CLAHE,feo,4,3.896905435924705,5.193065035849295
Pollo_Relleno,Filter_Gaussian,Normal,bueno,1,4.111458464668734,5.239131469125448
Pollo_Relleno,Filter_Gaussian,Normal,malo,1,3.631239311620753,4.807793487400753
Pollo_Relleno,Filter_Gaussian,Normal,feo,1,3.2790559086348003,3.905770957168292
Pollo_Relleno,Filter_Gaussian,CLAHE,bueno,1,3.4257229675703047,4.459282123070814
Pollo_Relleno,Filter_Gaussian,CLAHE,malo,1,3.1429272547402674,4.140629013228004
Pollo_Relleno,Filter_Gaussian,CLAHE,feo,1,2.813594825713455,3.368745526293765
Pollo_Relleno,Filter_Gaussian,Normal,bueno,3,4.286676945466253,5.567779219807158
Pollo_Relleno,Filter_Gaussian,Normal,malo,3,3.70021153951298,4.830007608140182
Pollo_Relleno,Filter_Gaussian,Normal,feo,3,3.273670726014049,3.8876883749318183
Pollo_Relleno,Filter_Gaussian,CLAHE,bueno,3,3.487232565617485,4.590632516477866
Pollo_Relleno,Filter_Gaussian,CLAHE,malo,3,3.023995689922384,3.9875618536874438
Pollo_Relleno,Filter_Gaussian,CLAHE,feo,3,2.737179255196973,3.172270795892451
Pollo_Relleno,Filter_Gaussian,Normal,bueno,4,4.2852392399786075,5.488464316697816
Pollo_Relleno,Filter_Gaussian,Normal,malo,4,3.803956796377506,4.973357885808694
Pollo_Relleno,Filter_Gaussian,Normal,feo,4,3.4359221901684607,4.309266446447808
Pollo_Relleno,Filter_Gaussian,CLAHE,bueno,4,3.4633171217760066,4.5264082402178225
Pollo_Relleno,Filter_Gaussian,CLAHE,malo,4,3.2011548977686437,4.19078606211515
Pollo_Relleno,Filter_Gaussian,CLAHE,feo,4,2.7831893590862835,3.435502098946919
Pollo_Relleno,Original,Normal,bueno,1,4.254729611693758,5.553559516551719
Pollo_Relleno,Original,Normal,malo,1,4.008878349473922,5.328864483366478
Pollo_Relleno,Original,Normal,feo,1,3.6272167003126534,4.477455386223449
Pollo_Relleno,Original,CLAHE,bueno,1,3.5662968982502656,4.667762605698192
Pollo_Relleno,Original,CLAHE,malo,1,3.43641946788471,4.570902726401745
Pollo_Relleno,Original,CLAHE,feo,1,3.0439454894369624,3.7016399767432224
Pollo_Relleno,Original,Normal,bueno,3,4.276621132858858,5.671310277323819
Pollo_Relleno,Original,Normal,malo,3,4.0017248792759945,5.2510617151631465
Pollo_Relleno,Original,Normal,feo,3,3.6507336448573273,4.423334068765261
Pollo_Relleno,Original,CLAHE,bueno,3,3.593427716296288,4.797693156943317
Pollo_Relleno,Original,CLAHE,malo,3,3.4258977507108,4.503734460213597
Pollo_Relleno,Original,CLAHE,feo,3,3.0909565952311553,3.8527247771395943
Pollo_Relleno,Original,Normal,bueno,4,4.333142450759572,5.684146069695071
Pollo_Relleno,Original,Normal,malo,4,4.1147550934165835,5.4230147781440525
Pollo_Relleno,Original,Normal,feo,4,3.850802486894462,4.933166874320019
Pollo_Relleno,Original,CLAHE,bueno,4,3.6321411098271397,4.802885410959474
Pollo_Relleno,Original,CLAHE,malo,4,3.519238489807435,4.6410553289184495
Pollo_Relleno,Original,CLAHE,feo,4,3.073258192466186,3.8104850219809805
